"chrome";"knoxly";"scheda";"TOTALE"
9.33;13.35;6.36;29.04
9.27;13.35;20.38;43
9.27;13.35;20.39;43.01
9.27;13.35;6.32;28.94
9.27;13.35;6.54;29.16
9.27;13.35;21.18;43.8
9.27;13.35;6.21;28.83
9.27;13.35;6.04;28.66
9.27;13.35;6.22;28.84
9.33;13.35;6.01;28.69
9.33;13.35;19.39;42.07
9.27;13.35;6.15;28.77
